"year","stage","value","lower","upper"
2010,"imroffset",182.9124260377059,135.87758274076168,242.0400057908421
2011,"imroffset",163.2529906740322,118.57507871432136,220.46700438791345
2012,"imroffset",121.64204486358868,82.23422570616425,175.4844059921526
2013,"imroffset",158.801450830481,113.70556884597256,217.07156238379804
2014,"imroffset",227.2838488022564,174.25835739427,291.0864021334524
2015,"imroffset",105.0342623381749,64.62296961654384,164.6306790337605
2016,"imroffset",170.33485519429473,120.23715002950978,235.45999248220355
2017,"imroffset",240.33646905697785,183.3032074664136,308.7901358011339
2018,"imroffset",197.51796726061545,142.36267299771657,267.4394407159175
2019,"imroffset",193.85357659036367,136.51470396192454,267.95482978819587
2020,"imroffset",171.6630694318367,112.9168919791049,252.31711090760513
2021,"imroffset",291.9328788976178,212.11169265827328,391.21599710294936
2022,"imroffset",255.24843970759855,168.77125700832815,372.18936650500393
2023,"imroffset",300.9187436426617,204.2717131093802,427.4075520721052
